what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1613350144143
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1613350144144
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1613350144145
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1613350144145
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1613350144147
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1613350144148
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1613350144149
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1613350144150
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1613350144152
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1613350144153
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1613350144154
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1613350144154
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1613350144156
os,sysinfo,,,"win32",1613350144161
arch,sysinfo,,,"x86_64",1613350144161
ws,sysinfo,,,"win32",1613350144161
locale,sysinfo,,,"de_DE",1613350144161
processors,sysinfo,,,"4",1613350144161
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1613350144161
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1613350144161
java.specification.name,sysinfo,,,"Java Platform API Specification",1613350144161
java.specification.vendor,sysinfo,,,"Oracle Corporation",1613350144161
java.specification.version,sysinfo,,,"1.7",1613350144161
java.vendor,sysinfo,,,"Oracle Corporation",1613350144161
java.version,sysinfo,,,"1.7.0_80",1613350144161
java.vm.info,sysinfo,,,"mixed mode",1613350144161
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1613350144161
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1613350144161
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1613350144161
java.vm.specification.version,sysinfo,,,"1.7",1613350144161
java.vm.vendor,sysinfo,,,"Oracle Corporation",1613350144161
java.vm.version,sysinfo,,,"24.80-b11",1613350144161
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1613350144540
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1613350144591
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613350144603
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613350144723
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1613350145140
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1613350145147
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1613350145181
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1613350145957
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613350146756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613350153905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613350155773
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613350155946
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1613350156285
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1613350156425
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1613350156426
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1613350156428
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1613350156429
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1613350156431
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1613350156435
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1613350156438
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1613350156442
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1613422720947
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1613422720949
